botanical,common,word_count
Hypericum androsaemum,Tutsan,3
Hypericum androsaemum,Sweet amber,4
Hypericum calycinum,Large-flowered st johns wort,6
Betula chinensis,Chinese birch,4
Betula davurica,Mongolian birch,4
Betula ermanii,Ermans birch,4
Betula humilis,Shrubby birch,4
Betula lenta,Sweet birch,4
Betula lenta,Black birch,4
Betula lenta,Cherry birch,4
Betula maximowicziana,Monarch birch,4
Betula medwediewii,Transcaucasian birch,4
Betula nana,Dwarf birch,4
Betula nigra,River birch,4
Betula occidentalis,Water birch,4
Betula papyrifera,Paper birch,4
Betula papyrifera,Canoe birch,4
Betula pendula,Common silver birch,5
Betula pendula,Silver birch,4
Betula pendula,European white birch,5
Betula pendula,Weeping birch,4
Betula pendula Purpurea,Purple-leaved birch,5
Betula pendula Youngii,Youngs weeping birch,6
Betula platyphylla var japonica,Japanese white birch,7
Anthyllis,Kidney-vetch,2
Aralia,Aralia,2
Aralia chinensis,Chinese angelica tree,5
Aralia chinensis,Chinese aralia,4
Aralia elata,Japanese angelica tree,5
Aralia spinosa,Angelica tree,4
Aralia spinosa,Devils walkingstick,4
Aralia spinosa,Hercules club,4
Arbutus,Madrone,2
Arbutus unedo,Killarney strawberry tree,5
Arbutus unedo,Strawberry tree,4
Arctostaphylos,Manzanita,2
Arctostaphylos,Bearberry,2
Arctostaphylos uva-ursi,Common bearberry,4
Arctostaphylos uva-ursi,Red bearberry,4
Aronia,Chokeberry,2
Aronia arbutifolia,Red chokeberry,4
Artemisia,Wormwood,2
Artemisia,Sage-brush,2
Genista pilosa,Hairy genista,4
Genista tinctoria,Dyers greenweed,4
Genista tinctoria,Green broom,4
Genista tinctoria,Common woad-waxen,4
Gentiana,Gentian,2
Geranium,Cranesbill,2
Geum,Avens,2
Gleditsia triacanthos,Honey locust,4
Gleditsia triacanthos Sunburst,Thornless honey locust,6
Gymnocladus,Coffee tree,3
Gymnocladus dioicus,Kentucky coffee tree,5
Erica ciliaris,Ciliated heath,4
Erica cinerea,Scotch heath,4
Erica cinerea,Bell heather,4
Erica cinerea,Twisted heath,4
Erica tetralix,Bog heather,4
Erica tetralix,Cross-leaved heath,4
Erica vagans,Cornish heath,4
Erigeron,Fleabane,2
Eriobotrya,Loquat,2
Eriobotrya japonica,Japanese medlar,4
Erodium,Herons bill,3
Eryngium,Eryngo,2
Erythrina,Coral tree,3
Erythrina crista-galli,Coral bush,4
Eucalyptus,Eucalyptus,2
Eucalyptus,Gum tree,3
Eucalyptus gunnii,Cider gum,4
Eucalyptus niphophila,Snow gum,4
Eucomis,Pinapple lily,3
Eucommia,Eucommia,2
Eucommia ulmoides,Hardy rubber tree,5
Betula platyphylla var szechuanica,Szechuan white birch,7
Betula populifolia,Grey birch,4
Betula pubescens,Pubescent birch,4
Betula pubescens,Downy birch,4
Betula pubescens,Common white  birch,6
Betula utilis,Himalayan birch,4
Broussonetia papyrifera,Paper mulberry,4
Buddleja,Butterfly bush,3
Buddleja globosa,Orange ball tree,5
Buxus,Box tree,3
Buxus balearica,Balearic box,4
Buxus balearica,Spanish box,4
Buxus sempervirens,Common box,4
Buxus sempervirens cv Suffruticosa,Edging box,6
Artemisia abrotanum,Ladss love,4
Artemisia abrotanum,Old-man wormwood,4
Artemisia abrotanum,Southernwood,3
Asimina,Papaw,2
Asimina triloba,Common pawpaw,4
Asimina triloba,Pawpaw,3
Atriplex,Saltbush orache,3
Atriplex halimus,Tree purslane,4
Aucuba,Aucuba,2
Aucuba japonica,Japanese golddust tree,5
Aucuba japonica,Japanese aucuba,4
Azara,Azara,2
Azara microphylla,Box-leaf azara,4
Fagus,Beech,2
Fagus engleriana,Chinese beech,4
Fagus grandifolia,American beech,4
Fagus japonica,Japanese beech,4
Fagus sylvatica,Common beech european beech,6
Fagus sylvatica Atropunicea,Copper beech,5
Festuca,Fescue,2
Ficus carica,Fig tree,4
Ficus carica,Common fig,4
Foeniculum,Fennel,2
Fontanesia,Fontanesia,2
Forsythia europaea,Alabanian forsythia,4
Forsythia europaea,European golden ball,5
Forsythia intermedia,Forsythia,3
Fragaria ananassa,Erdbeere,3
Fragaria ananassa,Strawberry,3
Eucommia ulmoides,Gutta-percha tree,4
Eucryphia,Eucryphia,2
Eucryphia glutinosa,Chile eucryphia,4
Eucryphia nymansensis,Nymans eurcryphia,4
Euonymus,Spindle tree,3
Euonymus japonicus,Japanese euonymus,4
Euonymus latifolius,Broad-leaved spindle tree,5
Euonymus verrucosus,Warted spindle tree,5
Eupatorium,Snakeroot,2
Euphorbia,Spurge,2
Exochorda,Exochorda,2
Daboecia,Irish heath,3
Daboecia cantabrica,St daboecs heath,5
Daboecia cantabrica,Connemera heath,4
Daphne,Daphne,2
Daphne cneorum,Garland flower,4
Daphne laureola,Spurge laurel,4
Daphne mezereum,Wild pepper,4
Daphne mezereum,February daphne,4
Daphne mezereum,Mezereon,3
Daphne odora,Winter daphne,4
Daphne oleoides,Olive tree-leaved spurge,5
Davidia,Davidia,2
Davidia involucrata,Ghost tree,4
Davidia involucrata,Pocket-handkerchief tree,4
Davidia involucrata,Dove tree,4
Fraxinus,Ash,2
Fraxinus americana,White ash,4
Fraxinus angustifolia,Narrow-leaved ash,4
Fraxinus angustifolia,Southern ash,4
Fraxinus Angustifolia Raywood,Purple ash,5
Fraxinus chinensis,Chinese ash,4
Fraxinus excelsior,Common ash,4
Fraxinus excelsior,European ash,4
Fraxinus excelsior Diversifolia,One-leaved ash,5
Fraxinus excelsior Jaspidea,Gold ash,5
Fraxinus excelsior Pendula,Weeping ash,5
Fraxinus latifolia,Oregon ash,4
Fraxinus ornus,Manna ash,4
Fraxinus ornus,Flowering ash,4
Fraxinus pennsylvanica,Red ash,4
Fraxinus sieboldiana,Chinese flowering ash,5
Fraxinus xanthoxyloides,Afghan ash,4
Fritillaria,Fritillary,2
Fuchsia,Fuchsia,2
Desmodium,Tick clover,3
Desmodium elegans,Tick-trefoil,3
Deutzia,Deutzia,2
Dictamnus,Burning bush,3
Diervilla,Bush honey-suckle,3
Diospyros kaki,Chinese persimmon,4
Diospyros kaki,Kaki plum,4
Diospyros lotus,Date plum,4
Diospyros virginiana,American persimmon,4
Diospyros virginiana,Persimmon,3
Dipteronia,Dipteronia,2
Drimys,Drimys,2
Drimys winteri,Winter bark,4
Fuchsia magellanica,Magellan fuchsia,4
Caesalpinia,Brasiletto,2
Caesalpinia gilliesii,Bird of paradise,5
Callicarpa,Beauty berry,3
Callistemon,Callistemon,2
Callistemon citrinus,Bottle brush,4
Calluna,Heather,2
Calluna vulgaris,Common heather,4
Calluna vulgaris,Ling,3
Calluna vulgaris,Scotch heather,4
Calycanthus,Sweet shrub,3
Calycanthus fertilis,Allspice,3
Calycanthus fertilis,Pale sweet shrub,5
Calycanthus occidentalis,Californian allspice,4
Camellia,Camellia,2
Camellia japonica,Common camellia,4
Camellia sinensis,Tea plant,4
Camellia sinensis,Common tea,4
Camellia sinensis,Chinese tea,4
Caragana,Pea shrub,3
Caragna arborescens,Pea tree,4
Carpinus,Hornbeam,2
Carpinus betulus,Common hornbeam,4
Carpinus betulus,European hornbeam,4
Carpinus betulus,White beech,4
Carpinus betulus Pendula,Weeping hornbeam,5
Carpinus caroliniana,Blue beech,4
Carpinus japonica,Japanese hornbeam,4
Carpinus orientalis,Eastern hornbeam,4
Carpinus orientalis,Oriental hornbeam,4
Carya,Hickory,2
Carya cordiformis,Bitter nut hickory,5
Carya cordiformis,Bitter nut,4
Carya cordiformis,Swamp hickory,4
Carya illinoinensis,Pecan nut,4
Carya laciniosa,Shellbark hickory,4
Carya laciniosa,King-nut,3
Carya ovata,Shagbark hickory,4
Carya ovata,Little shellbark hickory,5
Caryopteris,Bluebeard,2
Caryopteris incana,Bluebeart,3
Cassia,Senna,2
Cassinia,Cassinia,2
Cassinia fulvida,Golden heather,4
Cassinia vauvilliersii Albida,Silver heather,5
Castanea,Chestnut,2
Castanea mollissima,Chinese chestnut,4
Castanea sativa,Spanish chestnut,4
Castanea sativa,Sweet chestnut tree,5
Catalpa,Catalpa,2
Catalpa bignonioides,Common catalpa,4
Catalpa bignonioides,Indian bean tree,5
Catalpa bignonioides,Southern catalpa,4
Catalpa erubescens Purpurea,Hybrid catalpa,5
Catalpa fargesii,Farges catalpa,4
Catalpa ovata,Yellow catalpa,4
Catalpa ovata,Yellow bean tree,5
Catalpa speciosa,Hardy catalpa,4
Catalpa speciosa,Western catalpa,4
Catalpa speciosa,Northern catalpa,4
Ceanothus,Ceanothus,2
Ceanothus arboreus,Californian lilac,4
Celtis,Sugarberry,2
Celtis,Nettle tree sugarberry,4
Celtis australis,Nettle tree,4
Celtis australis,Southern nettle tree,5
Celtis occidentalis,Hackberry,3
Celtis occidentalis,North american hackberry,5
Celtis sinensis,Chinese hackberry,4
Cephalanthus occidentalis,Buttonbush,3
Ceratonia,St johns bread,4
Ceratonia,Carob tree,3
Ceratonia siliqua,Carob,3
Ceratonia siliqua,Locust tree,4
Cercidiphyllum,Katsura tree,3
Cercidiphyllum japonicum,Japanese katsura tree,5
Cercis,Redbud,2
Cercis canadensis,Eastern redbud,4
Cercis chinensis,Chinese redbud,4
Cercis siliquastrum,Judas tree,4
Cestrum,Jessamine,2
Chamaerops,Fan palm,3
Chamaerops humilis,Dwarf fan palm,5
Chamaerops humilis,European fan palm,5
Chimonanthus praecox,Winter sweet,4
Chionanthus virginicus,Fringe tree,4
Choisya,Orange blossom,3
Choisya ternata,Mexican orange blossom,5
Cinnamomum,Cinnamon,2
Cinnamomum camphora,Camphor tree,4
Cistus,Rockrose,2
Cistus,Rock rose,3
Cistus ladanifer,Gum cistus,4
Cistus laurifolius,Laurel-leaved rock rose,5
Cistus parviflorus,Small-flowered rock rose,5
Cistus populifolius,Poplar-leaved rock rose,5
Cistus salvifolius,Sage-leaved rock rose,5
Cladastris kentukea,Yellowwood,3
Clerodendrum,Glory tree,3
Clerodendrum,Glory bower,3
Clethra,White alder,3
Clethra alnifolia,Sweet pepper bush,5
Clethra arborea,Lily of the vlley tree,7
Clianthus,Parrotbeak,2
Clianthus Puniceus,Glory pea,4
Clianthus puniceus,Parrots bill,4
Clianthus puniceus,Lobsters claw,4
Comptonia peregrina,Sweet fern,4
Cordyline,Dracena,2
Cordyline Australis,Cabbage tree,4
Coriaria,Coriaria,2
Coriaria myrtifolia,French sumac,4
Coriaria myrtifolia,Tartarian cornel,4
Coriaria myrtifolia,Myrtle coriaria,4
Cornus,Dogwood,2
Cornus alba,Tartar privet,4
Cornus Alba,Red-barked dogwood,4
Cornus alternifolia,Gree osier,4
Cornus alternifolia,Pagoda dogwood,4
Cornus alternifolia,Alternate-leaf dogwood,4
Cornus capitata,Benthams cornel,4
Cornus controversa,Giant dogwood,4
Cornus florida,Flowering dogwood,4
Cornus kousa,Kousa dogwood,4
Cornus Mas,Cornelian cherry,4
Cornus nuttallii,Pacific dogwood,4
Cornus nuttallii,Nuttalls dogwood,4
Cornus sanguinea,Common dogwood,4
Cornus Sanguinea,Blood-twig cornel,4
Coronilla,Crown vetch,3
Coronilla emerus,Scorpion senna,4
Correa,Correa,2
Corylopsis spicata,Spike winter hazel,5
Corylus americana,American hazel,4
Corylus avellana,Hazel,3
Corylus Avellana,Cobnut,3
Corylus avellana,Filbert,3
Corylus Avellana,European hazel,4
Corylus Avellana Contorta,Corkscrew hazel,5
Corylus avellana Contorta,Harry lauders walking stick,7
Corylus chinensis,Chinese hazel,4
Corylus colurna,Turkish hazel,4
Corylus colurna,Turkish filbert,4
Corylus maxima,Great cob,4
Corylus maxima,Giant filbert,4
Corylus maxima,Turki,3
Corylus Maxima,Lambert nut,4
Cotinus coggygria,Wig tree,4
Cotinus coggygria,Arons beard,4
Cotinus coggygria,Venetian sumach,4
Cotinus coggygria,Smoke tree,4
Crinodendron,Crinodendron,2
Cydonia,Quince,2
Cydonia oblonga,Common quince,4
Cytisus,Broom,2
Cytisus multiflorus,White spanish broom,5
Cytisus nigricans,Yellow-flowered broom,4
Cytisus nigricans,Spike broom,4
Cytisus praecox,Warminster broom,4
Cytisus purgans,Purge broom,4
Cytisus purgans,Provence broom,4
Cytisus scoparius,Common broom,4
Cytisus scoparius,Hogweed,3
Cytisus scoparius,Scotch broom,4
Idesia,Idesia,2
Ilex,Holly,2
Ilex altaclerensis,Highclere holly,4
Ilex aquifolium,Holly tree,4
Ilex aquifolium,Common holly,4
Ilex aquifolium,English holly,4
Ilex aquifolium Ferox,Hedgehog holly,5
Ilex cassine,Dahoon,3
Ilex opaca,American holly,4
Ilex perado,Canary holly,4
Ilex perado,Madeira holly,4
Ilex perado,Azores holly,4
Ilex pernyi,Pernys holly,4
Illicium,Anise tree,3
Illicium anisatum,Japanese anis tree,5
Illicium anisatum,Star anise,4
Indigofera,Indigo plant,3
Itea,Sweet spire,3
Itea virginica,Virginia sweet spires,5
Itea virginica,Virginia willow,4
Jasminum,Jasmine,2
Jasminum fruticans,Shrubby trefoil,4
Jasminum fruticans,Yellow jasmine,4
Jasminum fruticans,Wild jasmine,4
Jojoba,Simmondsia,2
Juglans,Walnut,2
Juglans ailanthifolia,Japanese walnut,4
Juglans cinerea,White walnut,4
Juglans cinerea,Butternut,3
Juglans mandshurica,Manchurian walnut,4
Juglans microcarpa,Texan walnut,4
Juglans nigra,Black walnut,4
Juglans regia,English walnut,4
Juglans regia,Common walnut,4
Juglans regia,Persian walnut,4
Kalmia,Kalmia,2
Kalmia angustifolia,Lambkill kalmia,4
Kalmia latifolia,Sheep laurel,4
Kalmia latifolia,Calico bush,4
Kalmia latifolia,Mountain laurel,4
Kalopanax,Kalopanax,2
Kerria,Kerria,2
Kerria japonica,Japanese kerria,4
Koelreuteria,Gold rain tree,4
Koelreuteria paniculata,Goldenrain tree,4
Koelreuteria paniculata,Chinese varnish tree,5
Koelreuteria paniculata,Pride of india,5
Kolkwitzia,Kolkwitzia,2
Kolkwitzia Amabilis,Beauty bush,4
Nandina,Nandina,2
Nandina domestica,Sacred bamboo,4
Nerium,Oleander,2
Nerium oleander,Rose bay,4
Nerium oleander,Commun oleander,4
Neviusia,Snow wreath,3
Neviusia alabamensis,Alabama snow wreath,5
Nothofagus,False beech,3
Nothofagus antarctica,Antarctic beech,4
Nothofagus antartica,Nirre,3
Nothofagus cunnighamii,Myrtle tree,4
Nothofagus cunnighamii,Tasmanian myrtle,4
Nothofagus dombeyi,Dombeys southern beech,5
Nothofagus dombeyi,Colgüe,3
Nothofagus obliqua,Roble pellin,4
Nothofagus obliqua,Roble,3
Nothofagus procera,Rauli,3
Nothofagus procera,Raoul beech,4
Nothofagus solandri,Black beech,4
Nyssa,Tupelo,2
Nyssa aquatica,Swamp tupelo,4
Nyssa aquatica,Cotton gum,4
Nyssa aquatica,Water tupelo,4
Nyssa sylvatica,Black gum,4
Nyssa sylvatica,Pepperidge,3
Laburnocytisus,Laburnocytisus,2
Laburnocytisus adamii,Adams laburnum,4
Laburnum,Golden chain,3
Laburnum,Laburnum,2
Laburnum alpinum,Alpine laburnum,4
Laburnum alpinum,Scotch laburnum,4
Laburnum anagyroides,Common laburnum,4
Laburnum anagyroides,Golden chain laburnum,5
Laburnum anagyroides,Golden rain,4
Laburnum watereri Vossii,Vosss laburnum,5
Lagerstroemia,Crape myrtle,3
Lagerstroemia indica,Myrtle,3
Lagerstroemia indica,Queens grape myrtle,5
Laurus,Laurel,2
Laurus nobilis,True bay,4
Laurus nobilis,Bay laurel,4
Laurus nobilis,Grecian laurel,4
Lavandula,Lavender,2
Lavandula angustifolia,Old english lavender,5
Lavandula angustifolia,True lavender,4
Lavandula angustifolia,Spike lavender,4
Lavandula angustifolia,Common lavender,4
Lavandula stoechas,French lavender,4
Ledum,Ledum,2
Ledum groenlandicum,Labrador tea,4
Ledum palustre,Marsh ledum,4
Ledum palustre,Wild rosemary,4
Ledum palustre,Cristal tea ledum,5
Leonotis,Lions-ear,2
Leonotis leonurus,Lions ear,4
Licium chinense,Chinese wolfberry,4
Licium chinense,Dukke of argylls tea tree,7
Ligustrum,Privet,2
Ligustrum japonicum,Japanese privet,4
Ligustrum lucidum,Tree privet,4
Ligustrum lucidum,Glossy privet,4
Ligustrum ovalifolium,Californian privet,4
Ligustrum ovalifolium,Oval-leaf privet,4
Maackia,Macckia,2
Maackia amurensis,Amur maackia,4
Maclura,Osage orange,3
Maclura pomifera,Bowwood,3
Maclura pomifera,Hedge apple,4
Magnolia,Magnolia,2
Magnolia acuminata,Cucumber tree,4
Magnolia delavayi,Delavays magnolia,4
Magnolia denudata,Yulan lily tree,5
Magnolia grandiflora,Southern magnolia,4
Magnolia grandiflora,Evergreen magnolia,4
Magnolia grandiflora,Bull bay,4
Ligustrum sinense,Chinese privet,4
Ligustrum vulgare,European privet,4
Ligustrum vulgare,Common privet,4
Lindera,Spice bush,3
Lindera benzoin,Benjamin tree,4
Lindera benzoin,Fever bush,4
Liquidambar,Sweet gum,3
Liquidambar formosana,Formosan sweet gum,5
Liquidambar formosana,Amber tree,4
Liquidambar formosana,Bastard chestnut,4
Liquidambar orientalis,Oriental sweet gum,5
Liquidambar orientalis,Oriental liquidambar,4
Liquidambar styraciflua,Bilsted,3
Liquidambar styraciflua,American red gum,5
Liquidambar styraciflua,American sweet gum,5
Liriodendron,Tulip tree,3
Liriodendron chinense,Chinese tulp tree,5
Liriodendron tulipifera,White wood,4
Liriodendron tulipifera,Yellow poplar,4
Lithocarpus densiflorus,Chestnus oak,4
Lithocarpus densiflorus,Tanbark oak,4
Magnolia hypoleuca,Silverleaf magnolia,4
Magnolia hypoleuca,Japanese big-leaved magnolia,5
Magnolia hypoleuca,White-leaved japanese magnolia,5
Magnolia kobus,Northern japanese magnolia,5
Magnolia kobus,Kobus magnolia,4
Magnolia liliiflora,Lily magnolia,4
Magnolia macrophylla,Large-leaved magnolia,4
Magnolia macrophylla,Large-leaved cucumber tree,5
Magnolia salifolia,Willow-leaved magnolia,4
Magnolia salifolia,Anise magnolia,4
Magnolia sieboldii,Oyama magnolia,4
Magnolia soulangeana,Sauces magnolia,4
Magnolia stellata,Star magnolia,4
Magnolia tripetala,Umbrella tree,4
Magnolia veitchii,Veitchs hybrid magnolia,5
Magnolia virginiana,Swamp bay,4
Magnolia virginiana,Sweet bay,4
Lithocarpus densiflorus,Tan oak,4
Lonicera,Honeysuckle,2
Lonicera alpigena,Alpine honeysuckle,4
Lonicera alpigena,Cherry woodbine,4
Lonicera caerulea,Sweet-berry honeysuckle,4
Lonicera caerulea,Haskap,3
Lonicera caerulea,Blue honeysuckle,4
Lonicera tatarica,Tatarian honeysuckle,4
Lonicera xylosteum,Fly honeysuckle,4
Lonicera xylosteum,Flag honeysuckle,4
Lycium,Box thorn,3
Lycium,Wolfberry,2
Lycium barbarum,Barbary wolfberry,4
Mahonia,Mahonia,2
Mahonia aquifolium,Oregon grape,4
Mahonia fortunei,Chinese mahonia,4
Mahonia japonica,Japanese mahonia,4
Malus,Apple,2
Malus baccata,Siberian crab,4
Malus floribunda,Japanese crab,4
Malus floribunda,Japanese flowering crab apple,6
Medicago,Medic,2
Medicago arborea,Tree medic,4
Medicago arborea,Tree alfalfa,4
Medicago arborea,Mountain trefoil,4
Medicago arborea,Moon trefoil,4
Melaleuca,Melaleuca,2
Melia azedarach,Chinaberry,3
Melia azedarach,Bead tree,4
Mespilus germanica,Common wild medlar,5
Mespilus germanica,Medlar,3
Metrosideros excelsa,New zealand christmas tree,6
Molinia,Purple moor grass,4
Morus,Mulberry,2
Morus alba,White mulberry,4
Morus alba Pendula,Weeping mulberry,5
Morus nigra,Black mulberry common mulberry,6
Morus rubra,Red mulberry,4
Myrica,Wax myrtle,3
Myrica,Bayberry,2
Myricaria,False tamarisk,3
Myricaria germanica,German tamarisk,4
Myrtus communis,True myrtle,4
Myrtus communis,Common myrtle,4
Olea,Olive tree,3
Olea europaea,Common olive,4
Olea europaea africana,African olive tree,6
Olearia,Daisybush,2
Oplopanax horridus,Devils club,4
Osmanthus,Osmanthus,2
Osmanthus americanus,American olive,4
Osmanthus americanus,Devil wood,4
Osteomeles,Bony berry,3
Ostrya,Hop hornbeam,3
Ostrya carpinifolia,European hop hornbeam,5
Ostrya virginiana,Ironwood,3
Ostrya virginiana,Eastern hop hornbeam,5
Ostrya virginiana,American hornbeam,4
Oxydendrum,Sourwood,2
Oxydendrum arboreum,Sorrel tree,4
Oxydendrum arboreum,Sour tree,4
Paeonia,Peony,2
Paeonia suffruticosa,Mountain peony,4
Paeonia suffruticosa,Tree peony,4
Paliurus,Paliurus,2
Paliurus spina-christi,Christs thorn,4
Paliurus spina-christi,Jerusalem thorn,4
Parrotia,Parrotia,2
Parrotia persica,Persian parrotia,4
Parrotia persica,Persian ironwood,4
Parrotia persica,Iron tree,4
Phellodendron,Cork tree,3
Phellodendron amurense,Amur cork tree,5
Philadelphus coronarius,White syringa,4
Philadelphus coronarius,Wild jasmin,4
Philadelphus coronarius,Mock orange,4
Phillyrea,Mock privet,3
Phillyrea angustifoli,Narrow-leaved vetch,4
Phillyrea latifolia,Jasmin box,4
Phillyrea latifolia,Phillyrea,3
Phlomis fruticosa,Jerusalem sage,4
Phyllodoce,Mountain heath,3
Phyllodoce caerulea,Blue mountain heath,5
Physocarpus opulifolius,Nine bark,4
Picea abies,Norway spruce,4
Pieris,Pieris,2
Pinus,Pine,2
Pinus aristata,Bristlecone pine,4
Pinus balfouriana,Foxtail pine,4
Pinus cembra,Arve,3
